DEBUG 2019-04-29 19:57:25,159 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.UGIS.Dto.CompanyInfoDto
DEBUG 2019-04-29 19:57:25,159 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.UGIS.Dto.CompanyInfoGetAllDto
DEBUG 2019-04-29 19:57:25,159 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.UGIS.Dto.CompanyMedcineTypeDto
DEBUG 2019-04-29 19:57:25,159 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.UGIS.Dto.CompanyPoluTypeDto
DEBUG 2019-04-29 19:57:25,160 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.UGIS.Dto.DicDto
DEBUG 2019-04-29 19:57:25,160 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.UGIS.Dto.DicTypeDto
DEBUG 2019-04-29 19:57:25,160 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.Sessions.Dto.TenantLoginInfoDto
DEBUG 2019-04-29 19:57:25,160 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.Sessions.Dto.UserLoginInfoDto
DEBUG 2019-04-29 19:57:25,160 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.Roles.Dto.CreateRoleDto
DEBUG 2019-04-29 19:57:25,160 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.Roles.Dto.PermissionDto
DEBUG 2019-04-29 19:57:25,160 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.Roles.Dto.RoleDto
DEBUG 2019-04-29 19:57:25,161 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.MultiTenancy.Dto.CreateTenantDto
DEBUG 2019-04-29 19:57:25,161 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - MyERP.MultiTenancy.Dto.TenantDto
INFO  2019-04-29 19:57:31,863 [7    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://10.211.55.7:3001/api/AbpUserConfiguration/GetAll  
INFO  2019-04-29 19:57:32,235 [7    ] uthentication.JwtBearer.JwtBearerHandler - Successfully validated the token.
WARN  2019-04-29 19:57:32,442 [11   ] calization.RequestLocalizationMiddleware - AbpUserRequestCultureProvider returned the following unsupported cultures 'zh-CN'.
